City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,294.57,97,88,2.68,EC,1720827203
1,udachny,66.4167,112.4,298.11,54,26,4.52,RU,1720827204
2,illizi,26.4833,8.4667,305.04,18,0,4.29,DZ,1720827206
3,whitehorse,60.7161,-135.0538,290.43,48,75,7.72,CA,1720827168
4,margaret river,-33.95,115.0667,284.02,78,97,2.84,AU,1720827209
5,port-aux-francais,-49.35,70.2167,273.25,78,100,17.01,TF,1720827210
6,ushuaia,-54.8,-68.3,278.96,75,20,13.89,AR,1720826990
7,saint-francois,46.4154,3.9054,284.84,95,17,1.54,FR,1720827213
8,armacao de buzios,-22.7469,-41.8817,295.18,91,98,5.5,BR,1720827214
9,georgetown,5.4112,100.3354,300.11,84,20,1.03,MY,1720827215
10,jamestown,42.097,-79.2353,297.95,83,40,2.57,US,1720827137
11,adamstown,-25.066,-130.1015,292.9,72,100,7.0,PN,1720827218
12,inhambane,-23.865,35.3833,291.94,81,0,3.96,MZ,1720827219
13,college,64.8569,-147.8028,298.75,32,40,5.66,US,1720827220
14,iqaluit,63.7506,-68.5145,285.0,54,75,8.75,CA,1720827221
15,egilsstadir,65.2653,-14.3948,286.1,67,0,3.6,IS,1720827222
16,yellowknife,62.456,-114.3525,291.71,54,75,3.09,CA,1720827224
17,beloyarskiy,63.7119,66.6722,285.11,93,100,3.18,RU,1720827225
18,afaahiti,-17.75,-149.2833,300.08,84,97,8.55,PF,1720827226
19,bethel,41.3712,-73.414,300.08,75,83,1.81,US,1720827227
20,longyearbyen,78.2186,15.6401,279.06,81,75,6.17,SJ,1720827229
21,mirny,62.5353,113.9611,294.38,60,0,4.57,RU,1720827230
22,paredon,16.0333,-93.8667,302.55,77,91,1.54,MX,1720827231
23,invercargill,-46.4,168.35,279.53,64,0,0.53,NZ,1720827232
24,grytviken,-54.2811,-36.5092,273.85,88,100,7.69,GS,1720827234
25,talnakh,69.4865,88.3972,289.09,95,100,1.87,RU,1720827235
26,ribeira grande,38.5167,-28.7,296.36,92,75,3.13,PT,1720827236
27,al kharijah,25.4514,30.5464,306.94,18,19,5.07,EG,1720827238
28,port elizabeth,-33.918,25.5701,285.55,87,0,1.03,ZA,1720827239
29,raton,36.9034,-104.4391,305.34,21,0,7.2,US,1720827240
30,namibe,-15.1961,12.1522,289.98,84,55,2.38,AO,1720827241
31,west island,-12.1568,96.8225,300.14,78,20,4.12,CC,1720827243
32,port mathurin,-19.6833,63.4167,295.89,69,82,12.78,MU,1720827244
33,wanning,18.8003,110.3967,302.01,78,100,2.02,CN,1720827245
34,garoowe,8.4054,48.4845,297.82,71,14,13.52,SO,1720827246
35,kone,-21.0595,164.8658,301.24,60,3,0.51,NC,1720827249
36,west bay,19.3667,-81.4167,304.29,70,20,5.66,KY,1720827250
37,utrik,11.2278,169.8474,301.14,83,100,9.21,MH,1720827253
38,vilyuysk,63.7553,121.6247,295.98,60,0,3.21,RU,1720827255
39,waitangi,-43.9535,-176.5597,283.61,82,89,2.24,NZ,1720827257
40,thompson,55.7435,-97.8558,294.24,56,100,3.09,CA,1720827258
41,liberty,31.8335,-81.5004,302.58,37,75,2.57,US,1720827259
42,qulsary,46.9531,54.0198,292.98,53,21,10.68,KZ,1720827260
43,ta`u,-14.2336,-169.5144,299.52,85,98,5.76,AS,1720827262
44,okhotsk,59.3833,143.3,292.39,58,89,1.85,RU,1720827263
45,kapa'a,22.0752,-159.319,300.48,75,100,7.2,US,1720827264
46,kodiak,57.79,-152.4072,282.88,93,100,8.75,US,1720827265
47,blackmans bay,-43.0167,147.3167,280.66,81,15,1.16,AU,1720827266
48,mar del plata,-38.0023,-57.5575,280.98,82,4,3.13,AR,1720827268
49,nouadhibou,20.931,-17.0347,294.14,88,75,3.6,MR,1720827269
50,enewetak,11.3474,162.3373,301.81,76,74,8.5,MH,1720827270
51,bilibino,68.0546,166.4372,291.2,35,82,1.08,RU,1720827271
52,cidreira,-30.1811,-50.2056,283.99,84,100,4.6,BR,1720827273
53,alice springs,-23.7,133.8833,281.9,76,0,2.57,AU,1720827274
54,tiksi,71.6872,128.8694,274.79,87,100,4.74,RU,1720827275
55,saldanha,-33.0117,17.9442,284.92,81,75,5.0,ZA,1720827276
56,magadan,59.5667,150.8,288.29,68,14,2.23,RU,1720827278
57,adler,43.43,39.92,296.24,78,49,4.0,RU,1720827279
58,tamanrasset,22.785,5.5228,305.1,10,23,4.12,DZ,1720827280
59,caninde de sao francisco,-9.66,-37.7894,294.87,87,91,3.41,BR,1720827281
60,fort st. john,56.2499,-120.8529,295.09,37,75,2.06,CA,1720827283
61,manismata,-2.4667,111.0333,296.65,88,100,1.28,ID,1720827284
62,angaur state,6.906,134.13,301.18,75,91,2.64,PW,1720827285
63,posto fiscal rolim de moura,-13.0833,-62.2667,293.05,57,8,1.98,BR,1720827286
64,puerto natales,-51.7236,-72.4875,275.06,92,45,2.52,CL,1720827288
65,sao jose da coroa grande,-8.8978,-35.1478,297.58,75,54,6.57,BR,1720827289
66,rio grande,-32.035,-52.0986,282.21,82,12,3.47,BR,1720827290
67,iskateley,67.6803,53.1512,283.06,77,97,2.87,RU,1720827291
68,grande prairie,55.1667,-118.8027,297.25,29,75,3.6,CA,1720826997
69,arraial do cabo,-22.9661,-42.0278,295.4,91,100,4.47,BR,1720827294
70,albany,42.6001,-73.9662,298.85,82,99,0.45,US,1720827295
71,edinburgh of the seven seas,-37.0676,-12.3116,284.33,63,96,12.45,SH,1720827296
72,vorgashor,67.5833,63.95,281.18,77,100,1.63,RU,1720827298
73,nangong,37.3581,115.3744,300.32,70,11,3.01,CN,1720827299
74,ola,59.5833,151.2833,287.7,68,15,2.72,RU,1720827300
75,codrington,-38.2667,141.9667,282.99,83,99,1.7,AU,1720827301
76,kupang,-10.1667,123.5833,298.47,78,20,1.54,ID,1720827303
77,acarau,-2.8856,-40.12,299.05,78,38,6.74,BR,1720827304
78,nadym,65.5333,72.5167,284.98,77,66,7.01,RU,1720827305
79,baruun-urt,46.6806,113.2792,298.56,47,16,4.5,MN,1720827306
80,lihue,21.9789,-159.3672,300.07,76,100,7.2,US,1720827308
81,nuuk,64.1835,-51.7216,277.93,96,100,6.58,GL,1720827309
82,nadi,-17.8,177.4167,300.15,57,40,4.12,FJ,1720827310
83,nova xavantina,-14.6667,-52.35,298.0,35,47,1.49,BR,1720827311
84,ketchikan,55.3422,-131.6461,290.41,67,100,5.14,US,1720827022
85,palangkaraya,-2.2,113.8333,297.0,82,51,0.9,ID,1720827314
86,punta arenas,-53.15,-70.9167,279.21,81,75,7.72,CL,1720827315
87,port lincoln,-34.7333,135.8667,285.74,79,53,3.45,AU,1720827316
88,jalai nur,49.45,117.7,297.96,49,18,3.08,CN,1720827317
89,omagh,54.6,-7.3,285.57,99,100,1.67,GB,1720827319
90,mount gambier,-37.8333,140.7667,284.07,80,57,2.21,AU,1720827320
91,hamilton,39.1834,-84.5333,303.04,68,75,1.54,US,1720827321
92,bredasdorp,-34.5322,20.0403,281.42,87,34,1.9,ZA,1720827322
93,tughyl,47.7252,84.2063,293.94,56,82,2.53,KZ,1720827324
94,pambujan,12.5642,124.9276,300.72,83,98,1.61,PH,1720827325
95,atafu village,-8.5421,-172.5159,302.17,69,16,7.66,TK,1720827326
96,yeppoon,-23.1333,150.7333,293.85,55,20,4.29,AU,1720827327
97,acapulco de juarez,16.8634,-99.8901,305.05,62,75,4.12,MX,1720827226
98,weno,7.4515,151.8468,304.12,79,100,4.12,FM,1720827330
99,uturoa,-16.7333,-151.4333,298.86,85,33,6.94,PF,1720827333
100,pustoshka,56.3355,29.369,289.6,95,58,1.07,RU,1720827334
101,punta alta,-38.8759,-62.0736,279.2,58,0,4.13,AR,1720827335
102,lazaro cardenas,17.9583,-102.2,301.73,77,95,1.98,MX,1720827336
103,usogorsk,63.4106,48.6872,284.33,78,98,1.98,RU,1720827337
104,islamorada,24.9243,-80.6278,302.6,83,100,1.28,US,1720827339
105,papatowai,-46.5619,169.4708,280.85,71,6,3.24,NZ,1720827340
106,lahat,-3.8,103.5333,295.69,95,100,0.6,ID,1720827341
107,tamandare,-8.7597,-35.1047,297.26,77,59,6.02,BR,1720827342
108,tolanaro,-25.0319,46.9987,294.19,64,0,7.2,MG,1720827344
109,ban karon,7.8477,98.2985,300.81,99,99,6.79,TH,1720827345
110,leava,-14.3,-178.1667,298.34,93,100,5.99,WF,1720827346
111,westport,41.1415,-73.3579,300.06,79,100,3.09,US,1720827193
112,povoa de lanhoso,41.5787,-8.282,292.47,79,86,0.99,PT,1720827349
113,sidareja,-7.4846,108.7923,296.09,93,96,0.9,ID,1720827350
114,moroto,2.5345,34.6666,292.65,76,67,1.88,UG,1720827351
115,new norfolk,-42.7826,147.0587,281.32,75,32,0.98,AU,1720827352
116,ilulissat,69.2167,-51.1,283.16,53,40,1.54,GL,1720827354
117,guiuan,11.0333,125.7247,301.31,76,100,1.18,PH,1720827355
118,prince george,53.9166,-122.753,298.49,37,0,1.03,CA,1720827157
119,hawaiian paradise park,19.5933,-154.9731,301.97,70,75,3.6,US,1720827357
120,bikenibeu village,1.3673,173.1241,301.9,73,89,6.19,KI,1720827358
121,el triunfo,-1.9333,-79.9667,303.17,64,49,3.66,EC,1720827360
122,patong,7.8961,98.2966,300.94,99,99,6.13,TH,1720827361
123,notodden,59.5594,9.2585,285.21,89,19,1.68,NO,1720827362
124,kwale,5.7063,6.4374,296.02,97,100,1.26,NG,1720827363
125,macon,39.8667,-88.9668,303.01,61,40,1.54,US,1720827365
126,kamina,-8.7386,24.9906,289.01,34,0,1.69,CD,1720827366
127,sur,22.5667,59.5289,304.16,63,76,5.06,OM,1720827367
128,naxos,37.1056,25.3764,300.54,72,0,1.79,GR,1720827368
129,rosetta,31.4044,30.4164,299.54,76,0,3.69,EG,1720827370
130,isafjordur,66.0755,-23.124,282.59,92,100,4.64,IS,1720827371
131,el jadid,33.2549,-8.506,293.82,87,0,5.16,MA,1720827372
132,vila franca do campo,37.7167,-25.4333,295.38,95,59,3.55,PT,1720827373
133,hami,42.8,93.45,298.24,38,70,1.46,CN,1720827375
134,minas de marcona,-15.2119,-75.1103,283.25,84,61,5.42,PE,1720827376
135,saudarkrokur,65.7461,-19.6394,287.62,67,100,11.05,IS,1720827377
136,geraldton,-28.7667,114.6,284.38,82,70,3.09,AU,1720827378
137,sao vicente,-23.9631,-46.3919,293.25,93,100,0.89,BR,1720827380
138,haiku-pauwela,20.9219,-156.3051,302.18,68,20,13.38,US,1720827382
139,varadero,23.1536,-81.2514,303.57,79,100,5.18,CU,1720827383
140,eydhafushi,5.1033,73.0708,301.95,76,100,6.76,MV,1720827385
141,susuman,62.7833,148.1667,298.22,35,98,1.3,RU,1720827386
142,hermanus,-34.4187,19.2345,282.48,79,38,3.74,ZA,1720827387
143,richards bay,-28.783,32.0377,289.44,55,0,1.22,ZA,1720827388
144,slave lake,55.2834,-114.769,292.14,55,20,5.14,CA,1720827246
145,boa vista,2.8197,-60.6733,298.14,88,75,2.06,BR,1720827392
146,gazojak,41.1875,61.4036,302.75,25,26,5.0,TM,1720827393
147,laminusa,5.5549,120.9136,299.47,87,99,6.83,PH,1720827396
148,greymouth,-42.4667,171.2,280.95,70,3,2.93,NZ,1720827398
149,wailua homesteads,22.0669,-159.378,300.85,76,100,7.2,US,1720827400
150,moose jaw,50.4001,-105.5344,300.3,53,40,6.69,CA,1720827402
151,qaqortoq,60.7167,-46.0333,278.86,94,100,2.4,GL,1720827403
152,duong dong,10.2167,103.9667,298.15,94,75,4.63,VN,1720827404
153,polyarnyy,69.1989,33.4478,283.18,91,100,8.12,RU,1720827405
154,usinsk,65.9939,57.5281,283.56,70,100,1.36,RU,1720827407
155,hammerfest,70.6634,23.6821,284.4,87,100,7.72,NO,1720827408
156,fortuna,40.5982,-124.1573,290.36,82,0,6.69,US,1720827409
157,kasimov,54.9411,41.3953,287.25,72,83,0.06,RU,1720827410
158,ghormach,35.7306,63.7826,298.16,38,17,0.73,AF,1720827412
159,vorkuta,67.5,64.0,281.35,79,100,1.73,RU,1720827337
160,cannonvale,-20.2833,148.7,294.03,52,0,1.67,AU,1720827415
161,alaghsas,17.0187,8.0168,303.1,43,91,7.55,NE,1720827416
162,selfoss,63.9331,-20.9971,284.84,97,100,8.01,IS,1720827418
163,vadso,70.0744,29.7487,284.64,76,38,2.06,NO,1720827422
164,gobabis,-22.45,18.9667,283.98,15,0,4.41,NA,1720827423
165,callao,-12.0667,-77.15,291.72,82,100,3.09,PE,1720827424
166,lebu,-37.6167,-73.65,281.06,80,0,2.51,CL,1720827425
167,san luis de la loma,17.2706,-100.8939,301.18,84,94,1.19,MX,1720827427
168,sumbe,-11.2061,13.8437,291.81,90,28,4.15,AO,1720827428
169,anadyr,64.75,177.4833,288.43,58,75,7.0,RU,1720827429
170,praia,14.9215,-23.5087,298.45,83,20,1.54,CV,1720827430
171,laayoune,27.1622,-13.2032,294.34,100,75,9.77,EH,1720827432
172,tabou,4.423,-7.3528,297.64,83,96,4.14,CI,1720827433
173,fisterra,42.9049,-9.2629,289.83,75,100,8.24,ES,1720827434
174,mili,6.0815,171.735,301.93,76,86,5.81,MH,1720827435
175,keflavik,64.0049,-22.5624,285.1,100,100,12.86,IS,1720827437
176,kenai,60.5544,-151.2583,288.72,73,100,2.06,US,1720827438
177,amga,60.8953,131.9608,299.48,51,6,2.0,RU,1720827439
178,amherst,41.3978,-82.2224,300.37,65,75,2.57,US,1720827440
179,sultanah,24.4926,39.5857,310.4,12,0,2.06,SA,1720827441
180,puerto aysen,-45.4,-72.7,275.51,98,30,0.4,CL,1720827443
181,camocim,-2.9022,-40.8411,299.25,80,81,6.41,BR,1720827444
182,mogadishu,2.0371,45.3438,297.96,87,74,7.52,SO,1720827445
183,wesselsbron,-27.8549,26.3658,280.64,18,0,2.29,ZA,1720827446
184,stanley,54.868,-1.6985,284.16,84,40,1.54,GB,1720827448
185,murzuq,25.9155,13.9184,303.01,17,0,4.4,LY,1720827449
186,aasiaat,68.7098,-52.8699,276.99,87,97,3.59,GL,1720827450
187,undurkhaan,47.3194,110.6556,294.44,68,86,2.37,MN,1720827451
188,port alfred,-33.5906,26.891,289.46,64,33,2.15,ZA,1720827453
189,ebon,4.582,168.6964,302.01,75,100,4.96,MH,1720827454
190,arafat,39.0344,44.6198,291.24,59,72,1.83,IR,1720827457
191,poltavka,54.3663,71.7632,292.26,82,74,3.67,RU,1720827458
192,kismayo,-0.3582,42.5454,297.98,84,65,7.94,SO,1720827459
193,northam,51.0333,-4.2167,287.38,88,99,2.81,GB,1720827460
194,wailea,19.8858,-155.123,301.81,73,75,3.6,US,1720827462
195,igarka,67.4667,86.5833,290.39,82,100,1.25,RU,1720827463
196,marsh harbour,26.5412,-77.0636,301.85,77,100,3.52,BS,1720827466
197,aykhal,66.0,111.5,297.01,53,35,5.3,RU,1720827467
198,hadibu,12.65,54.0333,299.57,84,95,12.26,YE,1720827468
199,wuhai,39.6647,106.8122,303.17,28,37,1.47,CN,1720827469
200,curvelo,-18.7564,-44.4308,295.57,47,0,4.13,BR,1720827471
201,porto seguro,-16.4497,-39.0647,295.44,88,0,0.51,BR,1720827472
202,hjorring,57.4642,9.9823,288.44,83,96,5.81,DK,1720827473
203,flying fish cove,-10.4217,105.6791,297.97,78,20,5.14,CX,1720827474
204,sao tome,0.3365,6.7273,296.81,78,81,4.26,ST,1720827475
205,yokadouma,3.5167,15.05,294.34,98,100,0.17,CM,1720827477
206,agat village,13.3886,144.6585,302.79,80,20,5.66,GU,1720827478
207,coquimbo,-29.9533,-71.3436,283.0,71,0,2.06,CL,1720827479
208,bridgewater,44.3835,-64.5155,298.77,84,46,6.17,CA,1720827482
209,vernon,50.2581,-119.2691,308.31,21,5,0.89,CA,1720827483
210,kerikeri,-35.2268,173.9474,286.71,56,88,2.99,NZ,1720827484
211,saipan,15.1355,145.701,301.54,78,0,5.14,MP,1720827486
212,arkhangel'sk,64.5401,40.5433,289.21,100,40,4.0,RU,1720827487
213,nar'yan-mar,67.6713,53.087,283.05,76,97,2.91,RU,1720827488
214,makubetsu,45.3714,141.8211,288.75,82,86,4.65,JP,1720827489
215,lushun,38.8,121.2667,297.27,79,66,4.09,CN,1720827491
216,colonia,50.9333,6.95,287.49,87,75,3.09,DE,1720827492
217,san patricio,28.017,-97.5169,305.12,62,91,5.22,US,1720827493
218,sandnessjoen,66.0217,12.6316,285.44,87,82,1.93,NO,1720827494
219,malvan,16.0667,73.4667,300.15,87,100,7.96,IN,1720827496
220,kourou,5.1552,-52.6478,298.18,85,59,2.07,GF,1720827497
221,midvagur,62.0511,-7.1939,283.61,100,100,3.09,FO,1720827498
222,hithadhoo,-0.6,73.0833,301.89,71,65,4.58,MV,1720827499
223,mejit,10.2753,170.8646,301.04,81,64,10.33,MH,1720827501
224,zliten,32.4674,14.5687,299.5,63,0,3.44,LY,1720827502
225,turpan,42.9333,89.1667,303.3,35,55,0.97,CN,1720827503
226,happy valley-goose bay,53.3168,-60.3315,302.32,24,75,4.63,CA,1720827504
227,dudinka,69.4058,86.1778,290.88,82,100,3.62,RU,1720827505
228,basco,20.4487,121.9702,303.3,74,71,6.2,PH,1720827508
229,olonkinbyen,70.9221,-8.7187,277.64,92,100,5.12,SJ,1720827509
230,khandyga,62.6667,135.6,299.18,46,19,1.91,RU,1720827511
231,dongdu,35.85,117.7,298.55,75,38,2.14,CN,1720827512
232,betare oya,5.6,14.0833,292.85,96,100,0.48,CM,1720827513
233,kontagora,10.3999,5.4695,296.78,85,26,2.02,NG,1720827514
234,timbuktu,16.7735,-3.0074,308.29,34,5,5.21,ML,1720827516
235,erenhot,43.6475,111.9767,297.78,45,93,3.43,CN,1720827517
236,queenstown,-31.8976,26.8753,280.71,54,9,1.66,ZA,1720827518
237,palapag,12.5458,125.1147,300.14,88,100,1.53,PH,1720827519
238,villa regina,-39.1,-67.0667,281.47,22,0,0.89,AR,1720827521
239,ash shatrah,31.4117,46.1742,312.11,15,5,11.39,IQ,1720827522
240,kisangani,0.5167,25.2,295.02,96,46,0.53,CD,1720827523
241,yendi,9.4427,-0.0099,297.34,89,94,2.85,GH,1720827524
242,ribeira brava,32.65,-17.0667,296.88,84,1,1.84,PT,1720827526
243,labasa,-16.4167,179.3833,297.24,84,100,4.77,FJ,1720827527
244,brisas de zicatela,15.8369,-97.0419,297.44,94,75,4.12,MX,1720827528
245,kobarid,46.2481,13.5772,295.49,96,75,1.47,SI,1720827529
